"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "CSS", "JSON with Comments", "Prisma", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/tach/tach/nextjs/smartprogrammers/app/projects/AddProject.tsx", "TypeScript JSX", 0, 0, 169, 0, 0, 0, 0, 0, 0, 20, 189
"/home/tach/tach/nextjs/smartprogrammers/app/projects/FormProject.tsx", "TypeScript JSX", 0, 0, 166, 0, 0, 0, 0, 0, 9, 19, 194
"/home/tach/tach/nextjs/smartprogrammers/app/projects/layout.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 2, 5, 21
"/home/tach/tach/nextjs/smartprogrammers/app/projects/page.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 5, 11, 83
"/home/tach/tach/nextjs/smartprogrammers/components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/home/tach/tach/nextjs/smartprogrammers/components/CourseCard.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"/home/tach/tach/nextjs/smartprogrammers/components/Courses.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 2, 5, 75
"/home/tach/tach/nextjs/smartprogrammers/components/LearnMoreDialog.tsx", "TypeScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 0, 2, 60
"/home/tach/tach/nextjs/smartprogrammers/components/MainSection.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 5, 5, 46
"/home/tach/tach/nextjs/smartprogrammers/components/Navbar/Nav.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 8, 109
"/home/tach/tach/nextjs/smartprogrammers/components/Navbar/TopSidebar.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 0, 0, 0, 8, 129
"/home/tach/tach/nextjs/smartprogrammers/components/Services.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 1, 3, 58
"/home/tach/tach/nextjs/smartprogrammers/components/Sidebar.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"/home/tach/tach/nextjs/smartprogrammers/components/ToggleTheme.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 3, 8, 49
"/home/tach/tach/nextjs/smartprogrammers/components/TopBar.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 10, 14, 79
"/home/tach/tach/nextjs/smartprogrammers/components/ui/avatar.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"/home/tach/tach/nextjs/smartprogrammers/components/ui/button.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"/home/tach/tach/nextjs/smartprogrammers/components/ui/card.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 80
"/home/tach/tach/nextjs/smartprogrammers/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 14, 123
